Spell Name,Type,Pronunciation,Description,Seen/Mentioned
Avada Kedavra (Killing Curse)[],Curse,ah-VAH-dah keh-DAV-rah,"Causes instantaneous and painless death, leaving no physical injury to the victim's body or any trace of violence. It is accompanied by a bright flash or long stream of green light and a distinctive rushing noise while cast. There is no known counter-curse that can protect the victim from dying, except for a loving sacrifice. It is one of the three Unforgivable Curses.[13]","Used by Tom Riddle to murder many of his victims without any regret or remorse. Also Harry Potter was saved from this spell a number of times: by his mother's loving sacrifice, because he was an accidental Horcrux, because his wand and his enemy's were made of the same core, and because the Elder Wand refused to kill its true master (Harry Potter) during Voldemort's Last Stand."
Avifors (Avifors Spell)[],Transfiguration,AH-vi-fors,Transforms the target into a bird.,Taught in Transfiguration class.
Avenseguim[],Charm,ah-ven-SEH-gwim,Turns an object into a tracking device.,"In 1927, Newton Scamander used this spell to track the origins of a feather - a clue found during his search for Porpentina Goldstein - back to Yusuf Kama, whose hat the feather came from."
Avis (Bird-Conjuring Charm)[],"Conjuration, Charm",AH-viss,"Conjures a flock of birds from the tip of the wand. When used in conjunction with Oppugno, it can be used offensively.",Used in 1994 by Mr Ollivander to test Viktor Krum's wand. Also employed offensively by Hermione Granger against Ron Weasley.
(Babbling Curse)[],Curse,N/A,Causes uncontrollable babbling.,"Although he was rather untrustworthy, it may not have occurred at all, but Gilderoy Lockhart says he cured a Transylvanian farmer of this affliction.[14]"
(Badgering)[],Transfiguration,N/A,Turns things into badgers[15],N/A
(Basic Cast)[],Spell,N/A,Causes damage or harm to targets.,N/A
(Bat-Bogey Hex)[],Hex,N/A,Transforms the target's bogeys into large bats that fly out of the victim's nose. It was invented by Miranda Goshawk.[16],"Ginny Weasley was a noted practitioner of this spell, having used it at least thrice by her sixth year.[17]"
Baubillious[],Charm[15],baw-BILL-ee-us,"The exact effects of the spell are unknown, though it presumably is of damaging nature and it produces a bolt of white light from the tip of the wand.[15]",N/A
(Bedazzling Hex)[],Hex,N/A,Allows the caster to disguise things.,"When Xenophilius Lovegood explains the concept of how the Cloak of Invisibility is the only thing that can make a person truly invisible, he mentions that most cloaks of that kind are made with this spell.[18]"
(Bewitched Snowballs)[],Charm,N/A,Causes snowballs to pelt themselves at the target.,"Twice used by Fred and George Weasley; firstly on Professor Quirrell's head, unwittingly striking Lord Voldemort in the face,[19] and then again four years later to attack the windows of Gryffindor Tower.[20]"
(Bluebell Flames)[],Charm,N/A,"Produces magical blue flames that can be held in a jar. Not as dangerous as real fire, these magical flames can be touched, penetrated and held without it burning the holder, though it is known to singe materials such as clothing and plants.[21]",This spell was a specialty of Hermione Granger's. She used it to defeat Devil's Snare in the Underground Chambers in 1992.[21]
(Blue sparks)[],Charm,N/A,Jet of blue sparks. It can be used offensively as a minor duelling spell.,"Following the American National Quidditch team's win at the semi-finals of the 2014 Quidditch World Cup against Liechenstein, red, white and blue sparks filled the air so thickly it was difficult to see or breathe."
Bombarda (Bombardment Spell)[],Charm,bom-BAR-dah,Causes a small explosion.,Taught in fourth year Charms class.
Bombarda Maxima[],Charm,BOM-bar-dah MAX-ih-mah,Creates a large explosion capable of removing entire walls. A more advanced and more powerful form of the Bombardment Spell.,N/A
Brackium Emendo[],"Charm, Healing Spell",BRA-key-um ee-MEN-doh,"If used correctly, it is claimed that this spell will heal broken bones; this theory is supported by the etymology.","Used unsuccessfully by Gilderoy Lockhart on Harry Potter in 1992 after the latter's arm was broken by a Bludger; it vanished all the bones, making it resemble rubber, though the pain in Harry's arm was entirely gone."
(Braking Charm)[],Charm,N/A,Helped broomsticks stop.,N/A
(Bravery Charm)[],Charm,N/A,"Increases the bravery of a teammate, increasing their performance against certain foes.","Taught by Head of the Auror Office, Harry Potter, to members of the Statute of Secrecy Task Force, to help them address the results of the Calamity in the 2010s."
(Bridge-conjuring spell)[],Charm,N/A,Conjures a bridge from thin air.,"This spell was used by, Antioch, and Cadmus, and Ignotus Peverell in The Tale of the Three Brothers to create a bridge over a treacherous river, a bridge upon which they met Death.[18][22]"
(Broom jinx)[],Jinx,N/A,Used to make broomsticks try to throw their riders off through a variety of means such as sudden lurches and violent swishing movements. Constant eye contact is needed for the jinx to keep working.[23],It was used by Quirinus Quirrell against Harry Potter in 1991.[24]
(Bubble-Head Charm)[],Charm,N/A,Produces a large bubble of air around the head of the user; it is commonly used as the supernatural equivalent of a breathing set.[25],"Used by Cedric Diggory and Fleur Delacour in 1995;[25] it was used the next year by many students walking through the halls, because of horrid odours made by various pranks played on Dolores Umbridge.[11]"
(Bubble Spell)[],Charm,N/A,Produces a stream of non-bursting bubbles from the wand tip.,Used by Professor Flitwick to decorate some Christmas trees;[19] the bubbles in this instance were golden. Used the following year by Ron Weasley when he broke his wand; these bubbles were purple.
Calvorio (Hair Loss Curse)[],Curse,cal-VOR-ee-oh,Removes the victim's hair.,The book Curses and Counter-Curses by Vindictus Viridian mentions this curse.[26]
Cantis[],Charm,CAN-tiss,Causes the victim to burst uncontrollably into song.,Used by the Hogwarts professors to enchant suits of armour.[27]
Capacious extremis (Extension Charm)[],Charm,ca-PAY-shus ex-TREEM-us,"Expands the internal dimensions of an object without affecting the external dimensions, enhancing its capacity, and rendering its contents lighter.","Newton Scamander used this spell to expand his suitcase so he could fit through and access the inside. Arthur Weasley used this spell to allow eight people, six large trunks, two owls, and a rat to fit comfortably inside his modified Ford Anglia in 1992. Also on the tent in which the Weasleys, Harry and Hermione stay during the 1994 Quidditch World Cup; the tent is also used by Harry, Ron and Hermione as shelter in 1997. Also, Hermione cast this spell upon her handbag in the same year."
Carpe Retractum (Seize and Pull Charm)[],Charm,CAR-pay ruh-TRACK-tum,"Produces a rope of light used to pull objects towards the caster, or, if the target is fixed in place, to pull the caster towards the target.",Taught in third year Charms class.
(Cascading Jinx)[],Jinx,N/A,Attacks multiple opponents in close proximity to each other.,N/A
(Caterwauling Charm)[],Charm,N/A,Anyone entering the perimeter of this spell sets off a high-pitched shriek. This spell may be related to the Intruder Charm.,This spell was cast by the Death Eaters over Hogsmeade Wizarding Village to protect against intruders in 1998.
(Cauldron to Sieve)[],Transfiguration,N/A,Transforms cauldrons into sieves.,N/A
(Cauldron to badger)[],Transfiguration,N/A,Transforms cauldrons into badgers.,N/A
Cave inimicum[],Charm,CAH-vay uh-NIM-i-kuhm,Produces a boundary that keeps the caster hidden from others.,Used multiple times by Hermione Granger in 1997 and 1998 to protect the tent she shared with Ron Weasley and Harry Potter.
Celescere (Greenhouse Charm)[],Charm,N/A,Causes plants within a greenhouse to grow at an accelerated rate. It was created by combining elements of the Herbivicus Charm and Gemino Curse.,N/A
(Cheering Charm)[],Charm,N/A,Makes the target feel happy. Overuse of the spell may cause the target to break into an uncontrollable laughing fit. This spell was invented by Felix Summerbee.,"Taught to third-year charms classes, part of the written O.W.L."
Circumrota[],Charm,SIR-cum-roh-tuh,Rotates objects.,"This spell was used by Leta Lestrange to rotate a record tower in the Records Room at the Headquarters of the French Ministry of Magic, revealing Newton Scamander and Porpentina Goldstein to be hiding behind the tower."
(Cleaning Charm)[],Charm,N/A,Cleans objects.,N/A
Cistem Aperio (Box Blasting Charm)[],Charm,SIS-tem uh-PE-ree-o,Opens chests and boxes.,This spell was taught in fourth year Charms class at Hogwarts.
Colloportus (Locking Spell)[],Charm,cul-loh-POR-tus,Locks doors and all things that can be locked. It is the counter-charm to the Unlocking Spell.,Used by Hermione Granger in 1996 in an attempt to prevent the Death Eaters that were following her from catching up.
Colloshoo (Stickfast Hex)[],Hex,CAWL-low-shoo,Sticks the target's shoes to the ground.,"This spell is mentioned twice, once as having been used on Severus Snape during a potions class, the other when one reads Curses and Counter-Curses by Vindictus Viridian."
Colovaria (Colour Change Charm)[],Charm,co-loh-VA-riah,Changes the target's colour.,Used by fifth-years in their OWLs.
(Combat Bolt)[],N/A,N/A,Projects a bolt of energy.,Used by members of the Statute of Secrecy Task Force against various foes.
(Concealment Charm)[],Charm,N/A,Concealed things from view and obfuscates inherent magical properties of objects.,N/A
Confringo (Blasting Curse)[],Curse,kon-FRING-goh,Produces a fiery explosion.,Used by Harry Potter to destroy the side-car of a motorbike in which he was riding during a battle against some Death Eaters in 1997. Also used later by Hermione Granger in an attempt to kill Nagini and facilitate an escape from Godric's Hollow.
Confundo (Confundus Charm)[],Charm,con-FUN-doh,Causes the victim to become confused and befuddled.,"In 1994, Severus Snape asserted that Harry, Ron and Hermione had this charm cast on them so that they would believe Sirius Black's claim of innocence; used two years later by Hermione to allow Ron to join the Gryffindor Quidditch team. It was used multiple times in 1997 and 1998."
(Confusion Hex)[],Hex,N/A,Significantly impairs foes by weakening their mental awareness.,N/A
(Conjunctivitis Curse)[],Curse,N/A,"Causes irritation in the eyes, forcing them to swell shut. The Oculus Potion is able to counteract this curse. Dragons are particularly susceptible to this curse, as their hide makes them resistant to most spells, while their eyes remain vulnerable.",It was suggested by Sirius Black in his letter to Harry for him to use this spell on a dragon. Olympe Maxime used this spell on some giants in 1995.
(Cornflake skin spell)[],N/A,N/A,This spell causes the victim's skin to appear as though it was coated in cornflakes.,"In 1996, an unnamed student went to the hospital for treatment after he was hit with it, which was done in retaliation for the Inquisitorial Squad's recent behaviour."
(Cracker Jinx)[],Jinx,N/A,"This spell is used to conjure exploding wizard crackers; it can be used in duelling to harm the opponent, but the force of the explosion may also affect the caster.",N/A
(Cribbing Spell)[],Spell,N/A,"This spell, which may possibly be a charm, is used to assist the caster in cheating on written papers, tests, and exams. It is possible that these spells can negate anti-cheating spells.","In 1991, an unnamed Slytherin student asked his fellow students whether any of them knew any good cribbing spells."
Crinus Muto[],Transfiguration,N/A,Used to transfigure the colour and style of one's hair.[10],This maybe be the spell that caused Harry to turn his eyebrow yellow in 1996. Harry may have used this spell to turn his teacher's hair blue.
Crucio (Cruciatus Curse)[],Curse,KROO-see-oh,"Inflicts intense, excruciating physical pain on the recipient of the curse, and will result in insanity if exposed to it for too long. The pain is described as worse than having ""white-hot knives"" being driven into the victim. It cannot be performed successfully by a person who is doing so out of pure spite or anger; one must feel a true, deep desire to cause the victim pain and take great pleasure in their suffering. If one casts this spell on another fellow human being or living creature, he or she will receive a life sentence in Azkaban prison for it, as with the other two Unforgivable Curses.[13]","Infamously used by Death Eaters Bellatrix Lestrange, Rabastan Lestrange, Rodolphus Lestrange and Bartemius Crouch Junior to torture the Aurors Frank and Alice Longbottom into insanity.[28]"
Defodio (Gouging Spell)[],Charm,deh-FOH-dee-oh,Allows the caster to dig and carve through the target.,"Used by The Trio to escape from Gringotts in 1998 while riding a dragon. It was later used by Harry to write the epitaph for Dobby, who had been killed."
Deletrius (Eradication Spell)[],Charm,deh-LEE-tree-us,"Counter-charm to the Reverse Spell, vanishing the image of the last spell cast. It may also disintegrate other certain images.",This spell was only ever seen in 1994 when Amos Diggory used Prior Incantato to detect that Winky had cast Morsmordre using Harry Potter's wand.[29]
Densaugeo[],Hex,den-SAW-jee-oh,This hex causes the victim's teeth to grow rapidly.[30],"Introduced in 1994, when Draco Malfoy's spell struck Hermione Granger; her teeth were past her collar before she was forced to run to the hospital to get them shrunk.[30]"
Deprimo[],Charm,deh-PREEM-oh,Charm used to blast holes in the ground.,Hermione Granger blasted a hole through the living room floor of Xenophilius Lovegood's house in 1998 using this spell.[18]
Depulso (Banishing Charm)[],Charm,deh-PUL-soh,Sends the target away from the caster. It is the counter-charm to the Summoning Charm.,"Although it is learnt in the fourth-year charms class at Hogwarts, it is used multiple times in 1993, as well as in 1995."
Descendo[],Charm,deh-SEN-doh,Causes object to fall or move downwards.[31],"In 1997, it was used by Ron to magically cause the stairs in his bedroom, which lead to his family's attic, to descend; later that year, Crabbe used it in an attempt to cause a wall of rubbish behind which Ron was hiding to fall on him.[31]"
(Desk Into Pig)[],Transfiguration,N/A,Turns desks into pigs.,"Professor McGonagall used this spell as a demonstration for her class of first years in 1991, then changed the pig back into a desk.[32]"
(Deterioration Hex)[],Hex,N/A,Impairs foes and reduces their stamina.,Minerva McGonagall taught members of the Statute of Secrecy Task Force this hex to help them address the results of the Calamity in the 2010s.
Diffindo (Severing Charm)[],Charm,dih-FIN-doh,Used to precisely cut or tear objects.,"Used twice in 1994, the first time being by Harry Potter to cut Cedric Diggory's bag in order to talk to the latter,[2] and the second time being by Ron Weasley to cut the lace from the cuffs of his dress robes in an attempt to make them seem less feminine. The spell was used a third time by Harry to swap the covers of his second-hand and brand-new copies of Advanced Potion-Making."
Diminuendo[],Charm,dim-in-YEW-en-DOUGH,Forces the target to shrink.,"Performed by Nigel Wolpert in 1995, during a Dumbledore's Army meeting."
Disintegration spell[],Dark charm,N/A,"Like the Killing curse, it kills (or freezes) the victim. It turns the body grey/blue (or paler) while it turns to stone and then another twin spell can blast the body into pieces.",N/A
Dissendium[],Charm,dih-SEN-dee-um,Used to open passages.,"Used multiple times in 1993 to open the statue of Gunhilda of Gorsemoor, then again four years later in a failed attempt to open Salazar Slytherin's Locket."
(Disillusionment Charm)[],Charm,N/A,"Causes the target to blend seamlessly in with its surroundings, like a chameleon.",Used by Alastor Moody to disguise Harry Potter in 1995.
Draconifors (Draconifors Spell)[],Transfiguration,drah-KOH-nih-fors,Transforms the target into a dragon.,Taught in third year Transfiguration class.
(Drought Charm)[],Charm,N/A,Causes puddles and ponds to dry up. Though not powerful enough to drain a body of water like a lake,Mentioned by Ronald Weasley in 1994 when Harry was getting ready for the Second Task of The Triwizard Tournament.
Ducklifors[],"Transfiguration, Jinx",DUCK-lih-fors,Transforms the target into a duck.[10],N/A
Duro (Hardening Charm)[],Charm,DYOO-roh,Turns an object to stone.,Used by Hermione Granger in 1998 while escaping from Death Eaters in the Battle of Hogwarts.[33]
(Ears to kumquats spell)[],Transfiguration,N/A,This spell transforms the victim's ears into kumquats.,"In 1995, Luna Lovegood read The Quibbler upside down in order to reveal the secret spell, written in Ancient Runes.[34]"
(Ear-shrivelling Curse)[],Curse,N/A,Causes the target's ears to shrivel up.,"Sometime between 1989 and 1994, Bill Weasley's pen-friend sent him a hat with this curse on it."
Ebublio (Ebublio Jinx)[],Jinx,ee-BUB-lee-oh,Causes the victim to be trapped in a large bubble.,Used often by members of the Statute of Secrecy Task Force.[35]
Engorgio (Engorgement Charm)[],Charm,en-GOR-jee-oh,Causes the target to swell in physical size. Its counter-charm is the Shrinking Charm.,"Rubeus Hagrid used this spell on his pumpkins in 1992; two years later, Barty Crouch Jnr cast this spell on a spider to make it easier for students to see when he cast a curse on it. Used on another spider three years later to test a new wand."
Engorgio Skullus[],Dark charm,in-GORE-jee-oh SKUH-las,"Causes the victim's skull to swell disproportionately.[10] This spell may be a variation of the Engorgement Charm, as they share the first word of the incantation. Its countercurse is Redactum Skullus.",N/A
Entomorphis (Insect Jinx)[],"Jinx, Transfiguration",en-TOE-morph-is,This jinx is used to transform the target into an insectoid for a short time.[10],"Harry Potter contemplated using this jinx against Dudley Dursley in 1995, though he decided against it."
(Entrail-Expelling Curse)[],Curse,N/A,Expels victim's entrails. Precise effects unknown. Invented by Urquhart Rackharrow.,"When Harry Potter visited St Mungo's Hospital for Magical Maladies and Injuries in December 1995, he saw the portrait of Urquhart Rackharrow, which mentioned his invention of this curse.[36]"
Episkey[],Healing Spell,ee-PIS-key,"Used to heal relatively minor injuries, such as broken bones and cartilage.","In 1996, Nymphadora Tonks used this spell to fix Harry's broken nose after Draco Malfoy broke it on the Hogwarts Express,[37] Harry, in turn, used it to heal Demelza Robins' swollen lip after Ron punched her during Quidditch practice.[38]"
Epoximise[],Transfiguration,ee-POX-i-mise,"Adheres one object to another, as if they had been glued together.","This spell is often used by students to adhere each other's belongings to their desks (or, unfortunately, their hands)."
Erecto[],Charm,eh-RECK-toh,Used to erect a tent or other upright structure.,"Used by Hermione Granger to construct a shelter for her, Harry Potter, and Ronald Weasley in 1997."
Evanesce[],Transfiguration,ev-an-ES-key,Vanishes the target,N/A
Evanesco (Vanishing Spell)[],Transfiguration,ev-an-ES-koh,"Vanishes the target. Vanished things go ""into non-being, which is to say, everything.""",Used by William Weasley to vanish a bundle of old scrolls whilst cleaning 12 Grimmauld Place in 1995.[39]
Everte Statum[],Spell,ee-VER-tay STAH-tum,"Throws the victim backward, similarly to being thrown.",Draco Malfoy used this spell on Harry Potter in 1992 during the Duelling Club.[40]
Expecto Patronum (Patronus Charm)[],Charm,ecks-PECK-toh pah-TROH-numb,"This charm is a highly powerful and advanced protective spell which will conjure a spirit guardian of their positive emotions to defend against dark creatures; it can also send messages to other witches or wizards. The Patronus takes the form of an animal, unique to each person who casts it. The form of a Patronus can change when one has undergone a period of heightened emotion.",Taught to Harry Potter by Remus Lupin during his Anti-Dementor lessons;[41] Harry later taught Dumbledore's Army this charm.[42] This is the only known spell effective against Dementors or Lethifolds.
Expelliarmus (Disarming Charm)[],Charm,ex-PELL-ee-ARE-muss,Forces whatever an opponent is holding to fly out of their hand. It was considered to be Harry Potter's signature spell.[44],Used by Severus Snape on Gilderoy Lockhart during a live duelling demonstration during the first and last meeting of the Duelling Club in 1992.[40]
Expulso (Expulso Curse)[],Curse,ecks-PUHL-soh,"Provokes an explosion, unique in that it uses pressure to do so as opposed to heat.",Used by Antonin Dolohov during a fight in a cafe in 1997.[45]
(Extinguishing Spell)[],Charm,N/A,Puts out fires.,Charlie Weasley and his friends would use this spell should something go wrong in the tournament.[46]
(False memory spell)[],Charm,N/A,Implants a false memory in the victim without them realising it was not originally theirs.,"Lord Voldemort used this spell twice; firstly in 1943 upon his uncle Morfin Gaunt, then sometime later on the house-elf Hokey. Both instances were to hide his crimes and make the victims believe they were responsible. It is likely that Kingsley Shacklebolt used this spell on Marietta Edgecombe in 1996 in order to prevent her from revealing Dumbledore's Army to Cornelius Fudge. This is reinforced by Dumbledore stating that Shacklebolt was ""remarkably quick on the uptake"" in modifying her memory. It is possible that Professor Horace Slughorn used this in the next school year to hide his memory of Voldemort asking him about Horcruxes, although as he retained awareness of the true memory his spell may be a different one. It is also possible that he simply repressed it to such a degree that it could not be extracted from him against his will, as the memory he gave Dumbledore simple went blank at the right times and was replaced by a disembodied shouting, rather than images; this was noted to be crudely done. Hermione Granger used this in 1997 to make her parents believe they were named Wendell and Monica Wilkins respectively, that they have no daughter, and to make them move to Australia in order to protect them from Voldemort and his Death Eaters."
(Feather-light charm)[],Charm,N/A,Makes an object light as a feather.,"Harry Potter contemplated using this in 1993 to lighten his trunk so that he could carry it by broom to Gringotts, though he decided against it."
(Ferret to human)[],Transfiguration,N/A,Transforms a ferret into a human.,It was used by Minerva McGonagall on Draco Malfoy in 1994.
Ferula (Bandaging Charm)[],"Conjuration, Healing spell",fer-ROOL-lah,"Conjures up bandages and wraps them around a wound, splinting any broken bones.",Used by Remus Lupin in 1994 to bind Ronald Weasley's broken leg.
Fianto Duri[],Charm,fee-AN-toh DOO-ree,"A defensive charm which, based on the etymology, strengthens shield spells, and perhaps objects in general, in a similar way to Duro.",Used to protect Hogwarts School of Witchcraft and Wizardry in 1998.
(Fidelius Charm)[],Charm,N/A,"An immensely complex charm used to hide secret information within the soul of the charm's recipient, who is called a Secret-Keeper. The information is irretrievable unless the Secret-Keeper willingly chooses to reveal it, and only the aforementioned person can do so.","In 1993, it was explained that when Harry was merely an infant, he and his parents were hidden from Voldemort with this charm; from 1995 onward it was used to protect Grimmauld Place, and in 1998 it was used to protect Shell Cottage."
(Fiendfyre)[],Curse,N/A,"Unleashes cursed fire that takes the shape of animals that actively seek out living targets and burn anything in its path, including nearly indestructible substances such as Horcruxes. In addition, this fire is made even more dangerous due to the fact that it is extremely difficult to control, and cannot be extinguished with normal or enchanted water.[31]","Though there are numerous instances when it may have been used, it was only proven to have been used in 1998 by Vincent Crabbe, who was killed by it.[31]"
Finestra (Finestra spell)[],Charm,fi-NESS-tra,Shatters glass.,"On 6 December 1926, Newt Scamander shattered the front window of the Voclain & Co. jewellery store in New York using this spell to try and recapture his escaped niffler when he saw it loose inside the store stealing things."
Finite Incantatem (General Counter-Spell)[],Counter-Spell,fi-NEE-tay in-can-TAH-tem,Terminates all spell effects in the vicinity of the caster.,"Severus Snape used this to restore order to the Duelling Club in 1992, after the event had descended into utter chaos.[40]"
(Finger-removing jinx)[],Jinx,N/A,Removes a person's fingers.,Gunhilda Kneen jinxed her husband with this spell.
(Firestorm)[],Charm,N/A,Produces a ring of fire from the wand.,Albus Dumbledore used this spell to rescue Harry from Inferi in 1997.
(Flagrante Curse)[],Curse,flah-GRAHN-tay,Causes objects to burn on contact.,The Lestrange Vault had this curse on it.
Flagrate[],Charm,flah-GRAH-tay,Writes in midair with firey marks.,Tom Riddle used this spell to write his name; Hermione Granger used it three years later to mark some doors.
(Flame-Freezing Charm)[],Charm,N/A,Causes fire to tickle those caught in it instead of burning them.,Third year students wrote an essay on the use of this charm in medieval witch-burnings; Wendelin the Weird was burned forty-seven times.
(Flask-conjuring spell)[],Conjuration,N/A,Conjures a glass flask,"On 1 May, 1998, Hermione Granger used this spell to collect the memories of a dying Severus Snape."
Flintifors[],Transfiguration,FLINT-i-fors,Transforms objects into matchboxes.,"In the 1980s, this spell was covered in third year transfiguration classes."
Flipendo (Knockback Jinx)[],Jinx,fli-PEN-doh,Knocks objects and creatures backwards.,Taught in first year Defence Against the Dark Arts and Charms class.
Flipendo Duo (Knockback Jinx Duo)[],Jinx,flih-PEN-doh DOO-oh,A more powerful version of Flipendo.,N/A
Flipendo Maxima'[],Jinx,N/A,"A more powerful version of the Knockback Jinx, which threw the target back at a much greater force.","Invented by Badeea Ali in the 1989–1990 school year, who taught it to fellow sixth year students."
Flipendo Tria[],Jinx,flih-PEN-doh TREE-ah,A more powerful version of Flipendo Duo; it is said to resemble a miniature tornado.,N/A
(Flying charm)[],Charm,N/A,This spell is cast on broomsticks and flying carpets to allow them to fly.,"Draco Malfoy mentioned this spell when insulting Ron Weasley's broomstick, wondering why anyone would charm it."
(Foundables Spell)[],N/A,N/A,Unleashed the Calamity upon the Wizarding world; created foundables.,N/A
Fracto Strata[],Spell,Fracto Strata (Pronunciation Unknown),zap-type spell which can break weak objects into pieces.,This is the main offensive spell used in the LEGO Harry Potter: Years 1-4 and LEGO Harry Potter: Years 5-7 games.
Fumos (Smokescreen Spell)[],Charm,FYOO-moss,Defensive smokescreen that hinders visibility.,This spell is covered in The Dark Forces: A Guide to Self-Protection.
Fumos Duo[],Charm,N/A,A more powerful version of Fumos.,N/A
Furnunculus (Pimple Jinx)[],Jinx,fer-NUN-kyoo-luss,Covers the target in boils (or pimples).[30],Used by Harry Potter on Gregory Goyle.[30]
(Fur spell)[],Charm,N/A,Causes fur to grow on the victim.,Fred and George Weasley used this spell on each other.
Geminio (Doubling Charm)[],Charm,jeh-MIH-nee-oh,"Duplicates the target. When used to duplicate objects indefinitely on purpose, is known as the Gemino Curse.",Used by Hermione Granger on Salazar Slytherin's Locket to disguise her presence from Dolores Umbridge. Also used in the Lestrange family vault to keep the trio from stealing the horcrux.
Glacius (Freezing Spell)[],Charm,GLAY-see-us,Freezes the target with icy-cold air.,N/A
Glacius Duo[],Charm,GLAY-see-us DOO-oh,A more powerful version of Glacius.,N/A
Glacius Tria[],Charm,GLAY-see-us TREE-ah,A more powerful version of Glacius Duo.,N/A
